"auto_id","unit","id","DATACLASS","CORTEX","TECHNIQUE","ALTER","EDGEDAMAGE","TYPE","FBSECOND","FBTHIRD","PLATSURF","PLATEXT","FORM","SCARMORPH","RETEDGES","RETINTENSE","REPRISE","LENGTH","WIDTH","MAXWIDTH","THICKNESS","PLATWIDTH","PLATTHICK","MATERIAL","EXTSURFACE","EXTTYPE","WEIGHT","PLATTECH","PLATANG","MULTIPLE","EPA","SHAPE","SUPPORT","SURFPCT","PROXREMOVS","PREPPLATS","FLAKDIRECT","SCARLENGTH","SCARWIDTH"
701,"A1",701,"COMPTOOL","40-60%","NORMAL","UNALTERED","INTERIOR",31,"38",NA,"LRG PLAIN","NONE","NORMAL","UNI-","1","NORMAL","NONE",47,35.3,35.6,14.7,27.4,10.3,"LOCAL CAMPANIEN","40-60%","CORTEX",26,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
702,"A1",702,"DISTFLAKE","0%","NORMAL","HEAVY PATINA","NONE",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",12,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
703,"A1",703,"MEDFLAKE","90-99%","N/A","UNALTERED","NONE",NA,NA,NA,NA,NA,"ANGULAR","OTHER",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","90-100%","CORTEX",60,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
704,"A1",704,"SHATTER","0%",NA,"LIGHTPATINA","NONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",21,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
705,"A1",705,"PROXFLAKE","0%","NORMAL","LIGHTPATINA","EXTERIOR",NA,NA,NA,"PNCT PLAIN","NONE","NORMAL","N/A",NA,NA,NA,0,0,0,0,5.9,2.9,"LOCAL CAMPANIEN","0-10%","N/A",12,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
706,"A1",706,"COMPFLAKE","60-90%","NORMAL","UNALTERED","EXTERIOR",NA,NA,NA,"LRG PLAIN","NONE","NORMAL","OTHER",NA,NA,NA,49.2,42.1,44.5,15.9,21.9,9.9,"LOCAL CAMPANIEN","60-90%","CORTEX",40,"NORMAL",0,"NO",79,NA,NA,NA,NA,NA,NA,NA,NA
707,"A1",707,"COMPFLAKE","0%","NORMAL","LIGHTPATINA","NONE",NA,NA,NA,"LRG PLAIN","NONE","NORMAL","N/A",NA,NA,NA,36.5,29.6,31.1,8.4,17.7,4.6,"LOCAL CAMPANIEN","0-10%","N/A",10,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
708,"A1",708,"MEDFLAKE","0%","NORMAL","LIGHTPATINA","NONE",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",6,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
709,"A1",709,"COMPFLAKE"," 0","NORMAL","UNALTERED","NONE",NA,NA,NA,"DIHEDRAL","NONE","NORMAL","BI-",NA,NA,NA,32.2999992370605,26.2000007629395,32.1,7.3,21.6,5,"LOCAL CAMPANIEN","0-10%","N/A",6,"NORMAL",109,"NO",95,NA,NA,NA,NA,NA,NA,NA,NA
710,"A1",710,"MEDFLAKE"," 5","N/A","BURNED","N/A",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,NA,NA,0,0,0,0,"LOCAL CAMPANIEN","0-10%",NA,NA,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
711,"A1",711,"COMPFLAKE"," 0","NORMAL","LIGHTPATINA","NONE",NA,NA,NA,"MISSING","NONE","NORMAL","UNI-",NA,NA,NA,55.5,30.6000003814697,31.3,8.4,0,0,"LOCAL CAMPANIEN","0-10%","N/A",12,"NORMAL",98,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
712,"A1",712,"COMPFLAKE","0%","NORMAL","UNALTERED","NONE",NA,NA,NA,"STRT FACET","NONE","NORMAL","N/A",NA,NA,NA,25.7000007629395,26.7000007629395,33.1,7.6,30.5,9.6,"LOCAL CAMPANIEN","0-10%","N/A",8,"CLACTONIAN",0,"NO",63,NA,NA,NA,NA,NA,NA,NA,NA
713,"A1",713,"COMPFLAKE","0%","OTHER","UNALTERED","NONE",NA,NA,NA,"LRG PLAIN","NONE","NORMAL","SUB-RAD",NA,NA,NA,40.2999992370605,26.1000003814697,27.8,5.1,19.2,6.5,"LOCAL CAMPANIEN","0-10%","N/A",6,"BIFACE",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
714,"A1",714,"COMPFLAKE","10-40%","BIFRET","UNALTERED","NONE",NA,NA,NA,"MISSING","NONE","NORMAL","N/A",NA,NA,NA,38.5999984741211,27.2999992370605,27.3,4.2,0,0,"LOCAL CAMPANIEN","40-60%","CORTEX",6,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
715,"A1",715,"DISTFLAKE","0%","DISC","UNALTERED","NONE",5,NA,NA,NA,NA,"NORMAL","BI-",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",22,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
716,"A1",716,"COREFRAG","-1","NORMAL","LIGHTPATINA","NONE",NA,NA,NA,NA,NA,"ANGULAR","N/A",NA,NA,NA,46.6,0,39.2,26.7,0,0,"LOCAL CAMPANIEN","N/A","CORTEX",34,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
717,"A1",717,"MEDFLAKE","10-40%","N/A","HEAVY PATINA","NONE",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","10-40%","CORTEX",6,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
718,"A1",718,"PROXFLAKE","1-10%","NORMAL","LIGHTPATINA","NONE",NA,NA,NA,"MISSING","NONE","NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","CORTEX",10,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
719,"A1",719,"COMPTOOL"," 25","NORMAL","LIGHTPATINA","NONE",43,"38",NA,"LRG CORT","NONE","NORMAL","PLAIN","1","N/A","NONE",104.199996948242,54.5,60.2,17.1,20.8,8.7,"LOCAL CAMPANIEN","10-40%",NA,NA,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
720,"A1",720,"MEDFLAKE","0%","N/A","LIGHTPATINA","NONE",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",6,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
721,"A1",721,"MEDFLAKE","0%","NORMAL","LIGHTPATINA","NONE",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",10,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
722,"A1",722,"DISTFLAKE","90-99%","N/A","UNALTERED","NONE",NA,NA,NA,NA,NA,"NORMAL","OTHER",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","90-100%","CORTEX",4,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
723,"A1",723,"MED TOOL","1-10%","NORMAL","UNALTERED","NONE",43,NA,NA,NA,NA,"NORMAL","N/A","1","N/A","N/A",0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","CORTEX",12,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
724,"A1",724,"PROXFLAKE","10-40%","NORMAL","UNALTERED","EXTERIOR",NA,NA,NA,"LRG PLAIN","NONE","N/A","N/A",NA,NA,NA,0,0,0,0,21.3,10.4,"LOCAL CAMPANIEN","10-40%","CORTEX",18,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
725,"A1",725,"COMPFLAKE","1-10%","NORMAL","UNALTERED","NONE",NA,NA,NA,"LRG PLAIN","NONE","NORMAL","UNI-",NA,NA,NA,37,30.2,36.7,14.7,27.5,8.7,"LOCAL CAMPANIEN","0-10%","CORTEX",22,"NORMAL",0,"NO",56,NA,NA,NA,NA,NA,NA,NA,NA
726,"A1",726,"COREFRAG","-1","NORMAL","LIGHTPATINA","N/A",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,53.9,0,50.6,23.5,0,0,"LOCAL CAMPANIEN","N/A","CORTEX",44,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
727,"A1",727,"CORE","-1","NORMAL","UNALTERED","N/A",NA,NA,NA,NA,NA,"NORMAL","RADIAL",NA,NA,NA,60.1,0,44.9,20.9,0,0,"LOCAL CAMPANIEN","N/A","CORTEX",64,NA,0,"NO",NA,"NORMAL","N/A",100,2,0,"MULTIFACE",30.23,28.52
728,"A1",728,"COMPTOOL","90-99%","NORMAL","LIGHTPATINA","NONE",10,NA,NA,"LRG PLAIN","NONE","NORMAL","OTHER","1","NORMAL","N/A",58.1,47.1,46.3,20.2,20.3,10.9,"LOCAL CAMPANIEN","90-100%","CORTEX",73,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
729,"A1",729,"DIST TOOL","0%","NORMAL","UNALTERED","NONE",43,NA,NA,NA,NA,"NORMAL","BI-","1","N/A","N/A",0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",4,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
730,"A1",730,"PROXFLAKE","1-10%","NORMAL","UNALTERED","NONE",NA,NA,NA,"LRG PLAIN","NONE","N/A","N/A",NA,NA,NA,0,0,0,0,10.6,4.6,"LOCAL CAMPANIEN","0-10%","CORTEX",8,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
731,"A1",731,"PROXFLAKE","10-40%","NORMAL","LIGHTPATINA","EXT/INT",NA,NA,NA,"LRG PLAIN","NONE","NORMAL","PLAIN",NA,NA,NA,0,0,0,0,16.2,8.5,"LOCAL CAMPANIEN","10-40%","CORTEX",24,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
732,"A1",732,"MEDFLAKE","0%","N/A","UNALTERED","NONE",48,NA,NA,NA,NA,"NORMAL","N/A","1","LIGHT","N/A",0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",8,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
733,"A1",733,"COMPFLAKE","0%","NORMAL","LIGHTPATINA","NONE",48,NA,NA,"LRG PLAIN","NONE","NORMAL","UNI-","1","N/A","NONE",33,30.5,33.2,9.9,20.8,10.6,"LOCAL CAMPANIEN","0-10%","N/A",11,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
734,"A1",734,"SHATTER","10-40%",NA,"UNALTERED","NONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","10-40%","N/A",5,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
735,"A1",735,"COMPFLAKE","10-40%","NORMAL","UNALTERED","EXTERIOR",38,NA,NA,"LRG CORT","NONE","NORMAL","PLAIN",NA,NA,NA,61.4,57.7,59.2,14.2,18.4,16.4,"LOCAL CAMPANIEN","10-40%","CORTEX",50,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
736,"A1",736,"MED TOOL","0%","OTHER","LIGHTPATINA","NONE",32,NA,NA,NA,NA,"ANGULAR","N/A","1","N/A","N/A",0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",25,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
737,"A1",737,"DIST TOOL","40-60%","NORMAL","UNALTERED","NONE",30,"38",NA,NA,NA,"NORMAL","UNI-","1","N/A","N/A",0,0,0,0,0,0,"NON-LOCAL CAMPANIEN","40-60%","CORTEX",53,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
738,"A1",738,"DIST TOOL"," 75","NORMAL","UNALTERED","EXTERIOR",43,NA,NA,NA,NA,"ECLAT LAME","OTHER","1","NORMAL","N/A",95.7900009155273,32.2000007629395,0,0,0,0,"LOCAL CAMPANIEN","60-90%","CORTEX",56,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
739,"A1",739,"COMPFLAKE"," 0","NORMAL","UNALTERED","NONE",NA,NA,NA,"LRG PLAIN","NONE","NORMAL","N/A",NA,NA,NA,69.6999969482422,59,68.5,9,12.6,5.6,"LOCAL CAMPANIEN","0-10%","N/A",56,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
740,"A1",740,"PROXFLAKE"," 0","NORMAL","UNALTERED","NONE",NA,NA,NA,"LRG PLAIN","NONE","ANGULAR","N/A",NA,NA,NA,NA,NA,0,0,12.8,6.9,"LOCAL CAMPANIEN","0-10%","N/A",70,NA,0,"NO",70,NA,NA,NA,NA,NA,NA,NA,NA
741,"A1",741,"COMPFLAKE"," 0","LEVAL","OTHER","EXTERIOR",1,NA,NA,"CNVX FACET","NONE","NORMAL","SUB-RAD",NA,NA,NA,65.5,33.7000007629395,42.2,8.6,27.6,7.6,"LOCAL CAMPANIEN","0-10%","N/A",26,"NORMAL",0,"NO",100,NA,NA,NA,NA,NA,NA,NA,NA
742,"A1",742,"COMPFLAKE","1-10%","OTHER","UNALTERED","NONE",NA,NA,NA,"MISSING","NONE","NORMAL","N/A",NA,NA,NA,55.8,26.7,40,9.5,0,0,"LOCAL CAMPANIEN","0-10%","CORTEX",16,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
743,"A1",743,"COMPFLAKE","1-10%","NORMAL","UNALTERED","NONE",NA,NA,NA,"LRG PLAIN","NONE","ECLAT LAME","SUB-RAD",NA,NA,NA,51,27.6,30.7,9,12.4,9.2,"LOCAL CAMPANIEN","0-10%","CORTEX",14,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
744,"A1",744,"COMPFLAKE","1-10%","OTHER","UNALTERED","NONE",NA,NA,NA,"LRG PLAIN","NONE","ECLAT LAME","SUB-RAD",NA,NA,NA,51,14.4,18.4,10.8,11.1,6.4,"LOCAL CAMPANIEN","0-10%","CORTEX",10,"NORMAL",0,"NO",79,NA,NA,NA,NA,NA,NA,NA,NA
745,"A1",745,"COMPFLAKE","1-10%","NORMAL","LIGHTPATINA","NONE",NA,NA,NA,"LRG PLAIN","TRIM","NORMAL","N/A",NA,NA,NA,23.4,22.9,25.9,7.2,25.7,8.2,"LOCAL CAMPANIEN","0-10%","CORTEX",6,"NORMAL",0,"NO",54,NA,NA,NA,NA,NA,NA,NA,NA
746,"A1",746,"CORE","-1","NORMAL","LIGHTPATINA","NONE",NA,NA,NA,NA,NA,"NORMAL","RADIAL",NA,NA,NA,68.5,0,55.3,27.5,0,0,"LOCAL CAMPANIEN","N/A","CORTEX",72,NA,0,"NO",NA,"NORMAL","N/A",55,1,0,"MULTIFACE",52.55,38.47
747,"A1",747,"PROXFLAKE","0%","NORMAL","LIGHTPATINA","NONE",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",6,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
748,"A1",748,"SHATTER","0%",NA,"UNALTERED","NONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",7,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
749,"A1",749,"COMPFLAKE","0%","NORMAL","UNALTERED","NONE",NA,NA,NA,"LRG PLAIN","NONE","NORMAL","SUB-RAD",NA,NA,NA,22.7,22.1,24.5,6,20.3,7.9,"LOCAL CAMPANIEN","0-10%","N/A",4,"NORMAL",0,"NO",52,NA,NA,NA,NA,NA,NA,NA,NA
750,"A1",750,"COMPFLAKE","10-40%","NORMAL","UNALTERED","EXT/INT",NA,NA,NA,"CNVX FACET","NONE","NORMAL","UNI-",NA,NA,NA,60.2,60.3,66,23,50.7,16.4,"LOCAL CAMPANIEN","10-40%","CORTEX",82,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
751,"A1",751,"MEDFLAKE","1-10%","N/A","BURNED","N/A",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%",NA,0,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
752,"A1",752,"COMPFLAKE","1-10%","NORMAL","UNALTERED","NONE",NA,NA,NA,"LRG PLAIN","NONE","NORMAL","SUB-RAD",NA,NA,NA,53.4,34.6,41,10.8,18.7,7.4,"LOCAL CAMPANIEN","0-10%","CORTEX",26,"NORMAL",0,"NO",90,NA,NA,NA,NA,NA,NA,NA,NA
753,"A1",753,"COMPFLAKE","0%","NORMAL","LIGHTPATINA","NONE",48,NA,NA,"LRG PLAIN","SCAR","NORMAL","N/A","2","N/A","NONE",35.7,27.5,32.1,11.4,32.8,9.7,"LOCAL CAMPANIEN","0-10%","N/A",13,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
754,"A1",754,"PROXFLAKE","40-60%","NORMAL","UNALTERED","EXT/INT",48,NA,NA,"LRG PLAIN","NONE","NORMAL","UNI-",NA,NA,NA,0,0,0,0,14.5,5.9,"LOCAL CAMPANIEN","40-60%","CORTEX",12,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
755,"A1",755,"COMPTOOL","90-99%","NORMAL","LIGHTPATINA","NONE",9,"43",NA,"LRG PLAIN","NONE","NORMAL","OTHER","1","LIGHT","NONE",54.3,35.4,37.1,13.4,14.6,9.6,"LOCAL CAMPANIEN","90-100%","CORTEX",28,NA,0,"YES",NA,NA,NA,NA,NA,NA,NA,NA,NA
756,"A1",756,"COMPFLAKE","1-10%","NORMAL","LIGHTPATINA","EXTERIOR",NA,NA,NA,"LRG PLAIN","NONE","NORMAL","SUB-RAD",NA,NA,NA,69.5,50.4,57.3,14.4,30.7,8.3,"LOCAL CAMPANIEN","0-10%","CORTEX",58,"NORMAL",0,"NO",95,NA,NA,NA,NA,NA,NA,NA,NA
757,"A1",757,"CORE","-1","OTHER","UNALTERED","NONE",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,38.2,0,28.7,15,0,0,"LOCAL CAMPANIEN","N/A","CORTEX",14,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
758,"A1",758,"MEDFLAKE","0%","NORMAL","UNALTERED","NONE",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",6,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
759,"A1",759,"COREFRAG","-1","OTHER","UNALTERED","NONE",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,57.8,0,35.6,21.3,0,0,"LOCAL CAMPANIEN","N/A","CORTEX",32,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
760,"A1",760,"COMPFLAKE","10-40%","NORMAL","UNALTERED","NONE",NA,NA,NA,"MISSING","NONE","NORMAL","N/A",NA,NA,NA,50,30.1,35.5,11.9,0,0,"LOCAL CAMPANIEN","10-40%","CORTEX",26,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
761,"A1",761,"COMPFLAKE","10-40%","NORMAL","UNALTERED","NONE",48,NA,NA,"MISSING","NONE","NORMAL","N/A","1","N/A","NONE",31.2,34.1,36,9.1,0,0,"NON-LOCAL CAMPANIEN","10-40%","CORTEX",10,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
762,"A1",762,"COMPFLAKE","10-40%","NORMAL","UNALTERED","EXT/INT",NA,NA,NA,"LRG PLAIN","SCAR","NORMAL","UNI-",NA,NA,NA,41.2,40.6,43.1,10.1,26.3,6,"LOCAL CAMPANIEN","10-40%","CORTEX",16,"NORMAL",0,"NO",91,NA,NA,NA,NA,NA,NA,NA,NA
763,"A1",763,"MEDFLAKE","90-99%","NORMAL","BURNED","NONE",NA,NA,NA,NA,NA,"NORMAL","OTHER",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","90-100%",NA,0,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
764,"A1",764,"COREFRAG","-1","N/A","UNALTERED","NONE",NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,NA,43.8,0,24.9,15.5,0,0,"LOCAL CAMPANIEN","N/A","CORTEX",18,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
765,"A1",765,"COMPFLAKE","0%","NORMAL","UNALTERED","NONE",NA,NA,NA,"LRG PLAIN","NONE","NORMAL","SUB-RAD",NA,NA,NA,22.2,26.1,27.3,6.2,22.9,8,"LOCAL CAMPANIEN","0-10%","N/A",6,"NORMAL",0,"NO",55,NA,NA,NA,NA,NA,NA,NA,NA
766,"A1",766,"PROXFLAKE","1-10%","NORMAL","UNALTERED","NONE",NA,NA,NA,"LRG CORT","NONE","N/A","N/A",NA,NA,NA,0,0,0,0,5.2,2,"LOCAL CAMPANIEN","0-10%","CORTEX",4,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
767,"A1",767,"PROXFLAKE","10-40%","NORMAL","UNALTERED","NONE",NA,NA,NA,"LRG PLAIN","NONE","ANGULAR","N/A",NA,NA,NA,0,0,0,0,9.5,6.4,"LOCAL CAMPANIEN","10-40%","CORTEX",14,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
768,"A1",768,"DISTFLAKE","90-99%","NORMAL","UNALTERED","NONE",NA,NA,NA,NA,NA,"NORMAL","OTHER",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","90-100%","CORTEX",14,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
769,"A1",769,"COMPFLAKE","90-99%","NORMAL","LIGHTPATINA","NONE",NA,NA,NA,"LRG PLAIN","NONE","NORMAL","OTHER",NA,NA,NA,54.2,36.6,49.5,16.5,43.3,12.7,"LOCAL CAMPANIEN","90-100%","CORTEX",48,"NORMAL",0,"NO",109,NA,NA,NA,NA,NA,NA,NA,NA
770,"A1",770,"MEDFLAKE","0%","NORMAL","UNALTERED","NONE",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",4,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
771,"A1",771,"SHATTER","0%",NA,"LIGHTPATINA","NONE",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",10,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
772,"A1",772,"COMPFLAKE","90-99%","NORMAL","LIGHTPATINA","NONE",NA,NA,NA,"LRG PLAIN","NONE","NORMAL","OTHER",NA,NA,NA,35.8,32.3,35.3,18,21.7,8.2,"LOCAL CAMPANIEN","90-100%","CORTEX",20,"NORMAL",0,"NO",102,NA,NA,NA,NA,NA,NA,NA,NA
773,"A1",773,"MEDFLAKE","1-10%","N/A","BURNED","NONE",NA,NA,NA,"LRG PLAIN","NONE","NORMAL","N/A",NA,NA,NA,0,0,0,0,12.5,6.5,"LOCAL CAMPANIEN","0-10%",NA,0,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
774,"A1",774,"MEDFLAKE","1-10%","N/A","ROLLED","EXT/INT",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","CORTEX",10,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
775,"A1",775,"COMPFLAKE","1-10%","NORMAL","LIGHTPATINA","INTERIOR",38,NA,NA,"LRG PLAIN","NONE","ANGULAR","UNI-",NA,NA,NA,48.7,24.6,32.6,16.8,17.5,6.5,"LOCAL CAMPANIEN","0-10%","CORTEX",20,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
776,"A1",776,"COMPTOOL","0%","NORMAL","LIGHTPATINA","NONE",44,NA,NA,"LRG PLAIN","NONE","NORMAL","UNI-","1","N/A","NONE",54.2,60.8,65.9,16.6,25.1,11.8,"LOCAL CAMPANIEN","0-10%","N/A",66,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
777,"A1",777,"SHATTER","0%",NA,"LIGHTPATINA","NONE",NA,NA,NA,NA,NA,NA,NA,NA,"LIGHT",NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",23,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
778,"A1",778,"MEDFLAKE","0%","NORMAL","UNALTERED","NONE",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",4,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
779,"A1",779,"MEDFLAKE","0%","N/A","UNALTERED","NONE",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",10,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
780,"A1",780,"DISTFLAKE","0%","NORMAL","UNALTERED","NONE",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",3,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
781,"A1",781,"SHATTER","-1",NA,"UNALTERED","NONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","N/A","CORTEX",5,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
782,"A1",782,"DISTFLAKE","60-90%","RETFLK","UNALTERED","NONE",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","60-90%","CORTEX",2,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
783,"A1",783,"COMPFLAKE","0%","NORMAL","UNALTERED","NONE",NA,NA,NA,"MISSING","NONE","NORMAL","PLAIN",NA,NA,NA,25.6,27.9,34.9,4.7,0,0,"LOCAL CAMPANIEN","0-10%","N/A",4,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
784,"A1",784,"COMPFLAKE","0%","NORMAL","UNALTERED","NONE",NA,NA,NA,"LRG CORT","NONE","NORMAL","SUB-RAD",NA,NA,NA,34.1,35.7,34.3,9.3,21.4,5,"LOCAL CAMPANIEN","0-10%","N/A",10,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
785,"A1",785,"SHATTER","60-90%",NA,"UNALTERED","NONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","60-90%","N/A",5,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
